,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_srad,koi_teq
1369,5364071,K00248.01,Kepler-49 b,CONFIRMED,7.203855862,2.5418,1765.9,2.25,3834.0,0.539,509.0
1370,5959719,K02498.01,Kepler-390 b,CONFIRMED,6.73808701,2.591,92.9,0.73,5168.0,0.769,786.0
1371,7021681,K00255.01,Kepler-505 b,CONFIRMED,27.52194772,4.047,2312.8,2.47,3780.0,0.511,314.0
1372,4346178,K02652.01,Kepler-1304 b,CONFIRMED,16.1289679,6.271,389.0,2.94,5392.0,1.087,715.0
1373,9664142,K02654.01,Kepler-1305 b,CONFIRMED,13.5631157,5.438,336.4,1.75,5853.0,0.895,733.0
1374,10018233,K02655.01,Kepler-1306 b,CONFIRMED,16.2959916,2.116,369.6,1.83,5495.0,0.961,678.0
1375,8081899,K02426.01,Kepler-1235 b,CONFIRMED,4.16056658,2.61,75.8,0.7,5481.0,0.815,985.0
1376,8478994,K00245.01,Kepler-37 d,CONFIRMED,39.79220077,4.466,610.4,1.9,5437.0,0.781,458.0
1377,8631504,K02503.01,Kepler-1846 b,CONFIRMED,14.8200596,3.902,184.9,0.96,4825.0,0.732,552.0
1378,8110767,K02504.01,Kepler-1685 b,CONFIRMED,20.49041,4.369,661.8,2.34,5681.0,0.923,625.0
1379,6767840,K02506.01,Kepler-1262 b,CONFIRMED,8.679037,2.864,301.6,1.79,6117.0,1.027,949.0
1380,8379705,K02507.01,Kepler-1847 b,CONFIRMED,11.1296971,2.942,371.0,1.93,6122.0,0.964,843.0
1381,9896018,K02579.01,Kepler-1859 b,CONFIRMED,2.7296036,2.721,145.6,1.53,5887.0,1.235,1455.0
1382,11037511,K02580.01,Kepler-1281 b,CONFIRMED,3.11604194,1.7763,345.2,1.59,5591.0,0.86,1123.0
1383,9757613,K00250.04,Kepler-26 e,CONFIRMED,46.82767725,1.9033,1537.7,2.13,3879.0,0.537,276.0
1384,11818872,K02581.01,Kepler-1860 b,CONFIRMED,12.7372371,3.358,100.8,0.87,5420.0,0.868,697.0
1385,11771430,K02582.01,Kepler-1861 b,CONFIRMED,40.0306267,4.815,214.5,2.01,5855.0,1.373,617.0
